Segment,Family,Class,Product,Attribute Value 1,Attribute Value 2,Attribute Value 3,Attribute Value 4,Product Code
Food/ Beverages/ Tobacco,Beverages,Coffee/Tea/Substitutes,Coffee/ coffee substitutes â€“ instant,.,.,.,.,770100.0
"",,Coffee Green,Coffee Green,Arabica,Washed,Chiapas,conventional,770302.0
"",,,,,Natural,Chiapas,Organic,770201.0
"",,,,,Natural,Puebla,Organic,770203.0
"",,,,,Washed,Chiapas,Organic,770401.0
"",,,,,Washed,Puebla,Organic,770402.0
"",,,,,Washed,Puebla,conventional,770303.0
"",,,,Robusta,Washed,Puebla,conventional,770301.0
"",,,,,Washed,Chiapas,conventional,770304.0
"",,,,,Washed,Chiapas,Organic,770403.0
"",,,,,Washed,Puebla,Organic,770404.0
"",,,,,Natural,Chiapas,Organic,770204.0
"",,,,,Natural,Puebla,Organic,770202.0
"",,Coffee/Tea/Substitutes,Tea Instant,.,.,.,Organic,653286.0
